Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
145.390000,144.79000,-,127.3,127.3,K0ETY,"Linn - MSHP Tower",Osage,Missouri,FM ,
145.390000,144.79000,-,91.5,91.5,K0NXA,"Granby - MSHP Tower",Newton,Missouri,FM AllStar EchoLink P-25 ,656
145.370000,144.77000,-,162.2,162.2,K0DCA,"Seymour",Webster,Missouri,FM Fusion ,
145.370000,144.77000,-,,,KJ0A,"Saint Charles",St Charles,Missouri,Fusion WIRES-X ,
145.370000,144.77000,-,151.4,,K0EJC,"Independence - Centerpoint Med Ctr",Jackson,Missouri,FM EchoLink ,
145.350000,144.75000,-,141.3,,N0ARS,"Saint Louis - Tilles Park",St Louis,Missouri,FM ,
145.350000,144.75000,-,100.0,,AB0JW,"Poplar Bluff - R-1 School Maint Warehouse",Butler,Missouri,FM ,
145.350000,144.75000,-,110.9,,KD0ETV,"Marceline",Linn,Missouri,FM ,
145.350000,144.75000,-,91.5,91.5,N0NWS,"Joplin",Jasper,Missouri,FM EchoLink P-25 ,293
145.330000,144.73000,-,136.5,136.5,N0NWS,"Springfield - Cox South Hospital",Greene,Missouri,FM EchoLink ,
145.330000,144.73000,-,141.3,,KO0A,"Saint Charles - Lindenwood College",St Charles,Missouri,FM ,
145.310000,144.71000,-,151.4,,K0EJC,"Independence - Fire Sta 1",Jackson,Missouri,FM EchoLink ,
145.310000,144.71000,-,100.0,100.0,KN0D,"Eminence",Shannon,Missouri,FM ,
145.290000,144.69000,-,127.3,127.3,KM0HP,"Renick",Randolph,Missouri,FM ,
145.290000,144.69000,-,162.2,162.2,K0NXA,"Bolivar",Polk,Missouri,FM DMR ,5
145.290000,144.69000,-,100.0,100.0,K0NXA,"Arcadia - Taum Sauk Mtn State Park",Iron,Missouri,FM AllStar EchoLink ,
145.270000,144.67000,-,123.0,,KA9HNT,"Saint Louis - Busch Stadium",St Louis City,Missouri,FM Fusion ,
145.270000,144.67000,-,162.2,162.2,K0NXA,"Nixa - Water Tower",Christian,Missouri,FM AllStar P-25 ,656
145.250000,144.65000,-,110.9,110.9,N0MIC,"West Plains",Howell,Missouri,FM AllStar EchoLink ,
145.250000,144.65000,-,CSQ,,KC0QA,"Springfield - I-44/Hwy 13",Greene,Missouri,FM AllStar ,
145.230000,144.63000,-,162.2,162.2,K0ZRK,"Highlandville - Water Tower",Christian,Missouri,FM ,
145.230000,144.63000,-,123.0,123.0,KD0MRV,"Greenville",Wayne,Missouri,FM AllStar ,
145.210000,144.61000,-,162.2,,AC0JK,"Shell Knob - Fire LO Tower",Barry,Missouri,FM ,
145.210000,144.61000,-,123.0,,WB0QXW,"Saint Louis",St Louis City,Missouri,FM EchoLink ,
145.190000,144.59000,-,123.0,123.0,W9IQ,"Seymour - Hwy 60/Route A",Webster,Missouri,FM ,
145.190000,144.59000,-,100.0,100.0,N8WIZ,"Park Hills - Frankclay",St Francois,Missouri,FM EchoLink ,
145.190000,144.59000,-,,,K0BSJ,"Excelsior Springs",Clay,Missouri,DMR ,4
145.190000,144.59000,-,,,KA0EJQ,"Eolia",Pike,Missouri,FM ,
145.190000,144.59000,-,91.5,91.5,W0IN,"Carthage",Jasper,Missouri,FM ,
145.170000,144.57000,-,127.3,,K0KYZ,"Saint Louis",St Louis City,Missouri,FM ,
145.170000,144.57000,-,151.4,151.4,K0GQ,"Raytown - Water Tower",Jackson,Missouri,FM EchoLink ,
145.150000,144.55000,-,,,K0CSM,"Sullivan",Franklin,Missouri,FM ,
145.150000,144.55000,-,107.2,,WD0SKY,"Osborn",Dekalb,Missouri,FM ,
145.150000,144.55000,-,162.2,162.2,K0DCA,"Ongo",Douglas,Missouri,FM Fusion ,
145.150000,144.55000,-,100.0,,N0OZK,"Fredericktown",Madison,Missouri,FM ,
145.130000,144.53000,-,88.5,88.5,W0GS,"Rolla - Phelps Health Medical Office Bldg",Phelps,Missouri,FM ,
145.130000,144.53000,-,156.7,CSQ,W0CBL,"Kirksville - KTVO Tower",Adair,Missouri,FM EchoLink ,
145.110000,144.51000,-,,,KC0KW,"Kansas City",Jackson,Missouri,Fusion WIRES-X ,
145.110000,144.51000,-,,,KE0CYW,"Cole Camp",Benton,Missouri,DMR ,3
